"survived","pclass","sex","age","ticket","fare","embarked","family"
0,3,"male",34.5,330911,7.8292,Q,1
1,3,"female",47,363272,7,S,2
0,2,"male",62,240276,9.6875,Q,1
0,3,"male",27,315154,8.6625,S,1
1,3,"female",22,3101298,12.2875,S,3
0,3,"male",14,7538,9.225,S,1
1,3,"female",30,330972,7.6292,Q,1
0,2,"male",26,248738,29,S,3
1,3,"female",18,2657,7.2292,C,1
0,3,"male",21,48871,24.15,S,3
0,3,"male",27,349220,7.8958,S,1
0,1,"male",46,694,26,S,1
1,1,"female",23,21228,82.2667,S,2
0,2,"male",63,24065,26,S,2
1,1,"female",47,5734,61.175,S,2
1,2,"female",24,2167,27.7208,C,2
0,2,"male",35,233734,12.35,Q,1
0,3,"male",21,2692,7.225,C,1
1,3,"female",27,3101270,7.925,S,2
1,3,"female",45,2696,7.225,C,1
0,1,"male",55,17603,59.4,C,2
1,3,"male",9,17368,3.1708,S,2
1,1,"female",27,17598,31.6833,S,1
0,1,"male",21,17597,61.3792,C,2
1,1,"female",48,17608,262.375,C,5
0,3,"male",50,3337,14.5,S,2
1,1,"female",22,113509,61.9792,C,2
0,3,"male",22.5,2698,7.225,C,1
0,1,"male",41,113054,30.5,S,1
0,3,"male",27,2662,21.6792,C,3
0,2,"male",50,3085,26,S,2
0,2,"male",24,31029,31.5,S,3
1,3,"female",33,2315,20.575,S,4
1,3,"female",27,6607,23.45,S,4
0,1,"male",30,13236,57.75,C,2
0,3,"male",18.5,2682,7.2292,C,1
1,3,"female",27,342712,8.05,S,1
1,3,"female",21,315087,8.6625,S,1
0,3,"male",25,345768,9.5,S,1
0,3,"male",27,1601,56.4958,S,1
0,3,"male",39,349256,13.4167,C,2
0,1,"male",27,113778,26.55,S,1
0,3,"male",41,3101263,7.85,S,1
1,2,"female",30,237249,13,S,1
1,1,"female",45,11753,52.5542,S,2
0,3,"male",25,3101291,7.925,S,1
0,1,"male",45,17594,29.7,C,1
